Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
0,998,63,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,2,General,Dresses,Dresses
1,1145,40,Disappointed,Item arrived with torn seams and looks completely different from the pictures.,1,0,13,Initmates,Tops,Blouses
2,865,33,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,4,General,Dresses,Knits
3,942,37,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,6,Initmates,Dresses,Pants
4,1101,56,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,10,Initmates,Intimate,Dresses
5,1189,39,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,5,General,Intimate,Pants
6,1093,26,Great Buy,This dress exceeded my expectations! Beautiful drape and wonderful structure.,5,1,4,General Petite,Bottoms,Knits
7,1007,67,Great Buy,Great quality fabric and beautiful fit. Got so many compliments at work.,5,1,12,General,Jackets,Fine knit
8,1139,28,Great Buy,Cute design but required ironing out of the bag. Average quality overall.,3,1,11,General Petite,Tops,Pants
9,1030,34,Disappointed,"Awful fit, looks like a sack on me. Fabric feels synthetic and uncomfortable.",1,0,2,Initmates,Dresses,Blouses
10,976,44,Great Buy,"Material is fine, but the sleeves are a bit longer than expected.",3,1,10,Initmates,Jackets,Pants
11,910,42,Disappointed,Way over-priced for such thin material. Doesn't look good at all.,1,0,4,General,Intimate,Fine knit
12,1091,49,Disappointed,Shrank completely after the first wash! Terrible quality for the price.,1,0,0,General,Bottoms,Fine knit
13,1061,23,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,9,General,Bottoms,Knits
14,1016,23,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,0,General,Tops,Fine knit
15,1145,27,Disappointed,Item arrived with torn seams and looks completely different from the pictures.,1,0,13,General,Intimate,Pants
16,1195,66,Great Buy,Flattering cut and lovely fabric! Will definitely order in another color.,5,1,5,Initmates,Intimate,Knits
17,1022,30,Disappointed,Poor stitching and completely see-through. Definitely not worth the price.,1,0,2,General,Intimate,Knits
18,822,51,Great Buy,One of my favorite purchases this season! Fits great and very versatile.,5,1,6,General,Tops,Pants
19,808,57,Great Buy,Cute design but required ironing out of the bag. Average quality overall.,3,1,5,Initmates,Intimate,Dresses
20,990,56,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,1,General Petite,Intimate,Blouses
21,1067,25,Great Buy,Gorgeous color and wonderful material. Highly recommend buying this top!,5,1,3,General,Tops,Blouses
22,1193,41,Great Buy,Soft material and nice design. Fits really well and fast shipping too.,5,1,9,General Petite,Tops,Knits
23,1123,33,Disappointed,Item arrived with torn seams and looks completely different from the pictures.,1,0,12,Initmates,Bottoms,Blouses
24,917,21,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,12,Initmates,Dresses,Dresses
25,856,37,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,11,General Petite,Intimate,Blouses
26,1182,52,Great Buy,Super cute top! The embroidery details are amazing and material feels premium.,5,1,0,General,Intimate,Pants
27,1049,35,Great Buy,I absolutely loved this dress! Fits perfectly and very comfortable to wear all day.,5,1,10,General Petite,Jackets,Dresses
28,1063,50,Disappointed,Item arrived with torn seams and looks completely different from the pictures.,1,0,8,General Petite,Tops,Blouses
29,1067,21,Disappointed,Runs way too small and fabric is scratchy. Disappointed with the quality.,1,0,5,General Petite,Tops,Pants
